icao24,callsign,origin_country,time_position,longitude,latitude,baro_altitude,on_ground,velocity,true_track
4ba94b,THY90,Turkey,1783039231,44.7604,40.8013,10058.4,False,287.47,93.08
4ba94e,THY24,Turkey,1783039230,48.3873,41.0057,9448.8,False,281.42,90.63
851230,JAL107,Japan,1783039017,135.4589,34.7663,68.58,False,73.85,315.28
4ba930,THY355,Turkey,1783039229,48.8331,41.5781,11582.4,False,229.89,234.1
4ba946,THY55,Turkey,1783037626,45.2931,41.6163,10363.2,False,222.04,285.45
4ba945,THY199,Turkey,1783039231,29.3049,41.0037,2842.26,False,141.87,247.62
845ebc,ADO58,Japan,1783039231,140.9036,41.6371,1805.94,False,142.84,161.96
8990e3,EVA225,Taiwan,1783039231,119.8759,21.0168,9753.6,False,246.21,188.77
8990f1,MDA1263,Taiwan,1783039231,120.4356,24.2252,4267.2,False,124.43,229.53
86dc9a,ANA816,Japan,1783039232,103.2188,3.2822,8122.92,False,231.48,62.47
8990bb,SJX310,Taiwan,1783039231,122.5314,26.7076,10660.38,False,241.66,35.38
8990be,SJX715,Taiwan,1783039187,119.4449,23.4838,9730.74,False,243.92,237.75
8990bd,SJX761,Taiwan,1783039232,120.8261,15.1669,9753.6,False,246.19,163.99
8990d0,EVA281,Taiwan,1783039231,121.9446,24.0983,8016.24,False,231.54,199.6
781790,CCA1895,China,1783039206,116.2972,39.3172,7498.08,False,241.36,157.04
49d369,TVS86L,Czech Republic,1783039232,30.4318,36.5113,10668.0,False,233.29,145.78
49d365,ISR382,Czech Republic,1783039231,32.973,33.3121,9166.86,False,243.57,131.06
780488,CSN8797,China,1783039232,114.0634,22.6879,4175.76,False,168.68,32.67
86eeed,JA893K,Japan,1783039231,136.46,36.4672,289.56,False,60.4,35.99
480c47,MMF42,Kingdom of the Netherlands,1783039232,32.1313,29.6053,12192.0,False,232.05,307.89
4b8e03,PGT1770,Turkey,1783039232,29.8633,40.163,11277.6,False,245.18,135.0
881bc5,SNY22,Thailand,1783039193,100.5173,13.9124,373.38,False,60.8,293.96
781837,CSZ8310,China,1783039230,116.2797,40.3065,11018.52,False,231.08,230.78
71c224,JNA375,Republic of Korea,1783039231,134.5673,35.5566,8862.06,False,270.17,97.22
71c225,JNA472,Republic of Korea,1783039231,126.9763,36.1371,6766.56,False,205.49,4.88
71c220,TWB269,Republic of Korea,1783039232,140.8565,41.0461,10058.4,False,226.76,20.45
780519,CSN8417,China,1783039232,113.7673,22.4262,3916.68,False,166.87,38.74
71c258,AAR361,Republic of Korea,1783039231,126.704,35.9289,8366.76,False,225.97,175.69
71c259,AAR1085,Republic of Korea,1783039232,134.1636,35.5539,11277.6,False,287.76,111.06
78183f,CSZ239,China,1783038921,113.3112,22.1788,4206.24,False,179.84,237.86
71c245,JNA651,Republic of Korea,1783039232,126.9503,37.3337,2164.08,False,160.67,145.7
71c246,JNA221,Republic of Korea,1783039231,140.8598,35.8859,3131.82,False,149.22,199.75
71c244,JNA371,Republic of Korea,1783039231,127.4423,26.9018,3009.9,False,131.26,245.95
78184a,UEA2253,China,1783039231,116.595,39.2457,11010.9,False,226.12,201.49
71c247,JNA461,Republic of Korea,1783039231,127.5456,34.729,3825.24,False,181.23,161.98
71c242,JNA255,Republic of Korea,1783039231,134.3259,34.2645,3352.8,False,145.48,155.34
744841,RJA271,Jordan,1783039232,34.9601,32.0525,4305.3,False,201.47,304.18
71c219,HL8219,Republic of Korea,1783039231,127.8342,37.5599,3383.28,False,135.8,78.86
040241,ETH701,Ethiopia,1783039231,31.3129,28.6242,11277.6,False,256.3,131.18
744822,RJA650,Jordan,1783038916,51.6399,25.2256,198.12,False,71.55,338.05
4bca68,RHH009,Turkey,1783039231,100.1681,14.2703,3451.86,False,170.43,100.26
7803f4,CCA184,China,1783039232,133.1735,35.896,9144.0,False,197.09,268.65
71c286,AAR1055,Republic of Korea,1783039231,138.1211,35.8429,11018.52,False,183.67,288.28
86dcc4,JAL87,Japan,1783039231,135.0692,34.8596,12184.38,False,204.1,258.66
8991e2,SJX233,Taiwan,1783039228,120.0708,24.1588,6865.62,False,209.13,215.49
8991dd,SJX711,Taiwan,1783039230,120.049,22.5847,8534.4,False,237.21,181.24
8991f4,B36002,Taiwan,1783039223,120.7592,24.5868,3657.6,False,101.19,193.82
704010,MMA801,Myanmar,1783039227,96.1568,16.9405,434.34,False,94.75,34.38
704018,MMA211,Myanmar,1783039230,95.4342,19.9149,5486.4,False,137.87,337.17
43e91c,MRISE,United Kingdom,1783039232,25.1599,36.3461,11292.84,False,247.04,142.7
71c354,TWB319,Republic of Korea,1783039231,129.1672,35.1779,4488.18,False,199.41,86.75
71c359,AAR222,Republic of Korea,1783039232,132.5982,36.3329,10668.0,False,294.08,92.71
71c357,ABL112,Republic of Korea,1783039231,140.4194,35.7481,320.04,False,76.14,329.1
3c0936,SDR19BC,Germany,1783039198,32.4446,34.5868,7147.56,False,200.03,20.16
71c345,KAL706,Republic of Korea,1783039231,139.6759,35.9013,7635.24,False,195.78,284.77
71c349,KAL722,Republic of Korea,1783039232,133.3321,35.0836,9144.0,False,209.2,313.9
880c48,AIQ3250,Thailand,1783039043,102.1991,15.0606,7620.0,False,165.08,21.77
880c46,AIQ677,Thailand,1783039232,124.8994,37.1536,7261.86,False,238.95,84.07
71c375,ESR625,Republic of Korea,1783039231,127.1604,37.3163,3055.62,False,186.76,71.37
71c379,TWB706,Republic of Korea,1783039231,127.1387,37.3755,3497.58,False,146.49,281.55
71c371,AAR303,Republic of Korea,1783039232,126.1408,37.1031,5227.32,False,189.85,269.07
780649,CCA8202,China,1783039232,115.4699,39.7819,6736.08,False,215.41,221.42
780647,CCA2818,China,1783039231,113.7478,22.8235,4518.66,False,175.31,356.13
71c366,ABL1645,Republic of Korea,1783039228,131.4682,35.379,9144.0,False,255.49,83.06
71c364,AAR721,Republic of Korea,1783039231,126.6375,36.6726,5349.24,False,213.64,164.93
155c60,RWZ4640,Russian Federation,1783039231,28.7302,41.3566,1066.8,False,84.55,29.53
780657,CHH7987,China,1783039229,116.1518,39.5387,6659.88,False,221.99,155.93
71c311,KAL1806,Republic of Korea,1783039232,126.6583,37.6604,807.72,False,94.8,128.61
71c314,KAL1844,Republic of Korea,1783039232,127.3832,37.2644,4114.8,False,152.69,304.71
71c301,JJA1101,Republic of Korea,1783039231,138.7862,36.8834,8907.78,False,273.6,80.8
71c304,JJA111,Republic of Korea,1783039232,126.8833,36.8514,4876.8,False,196.6,200.05
70401f,MMA501,Myanmar,1783039229,96.8135,14.9745,10256.52,False,222.15,141.3
71c333,JJA1702,Republic of Korea,1783039232,132.069,34.01,5958.84,False,191.1,259.3
71c332,JJA1325,Republic of Korea,1783039229,135.0052,34.2929,1173.48,False,84.84,50.91
71c335,JJA1402,Republic of Korea,1783039231,127.7966,36.7942,6789.42,False,195.07,330.8
06a052,QTR870,Qatar,1783037709,53.5878,24.8589,10058.4,False,252.54,107.18
71c328,ABL8804,Republic of Korea,1783039231,126.7802,37.4648,2385.06,False,133.58,289.34
71c321,JJA6151,Republic of Korea,1783039183,127.975,34.4321,7924.8,False,204.47,228.57
71c326,TWB241,Republic of Korea,1783039228,133.4253,36.298,10668.0,False,274.63,93.22
06a068,QTR67H,Qatar,1783039232,51.1619,25.2351,3070.86,False,152.1,111.01
06a066,QTR9A,Qatar,1783039229,48.8629,27.0656,10363.2,False,247.8,307.92
06a063,QTR64V,Qatar,1783038469,53.4717,24.7559,9448.8,False,252.22,105.26
06a062,QTR9W,Qatar,1783039178,57.1893,23.0577,10972.8,False,250.56,297.25
48e958,LOT197,Poland,1783039231,45.127,40.7857,10668.0,False,272.09,93.36
71c395,ABL8106,Republic of Korea,1783039231,128.7102,34.7907,1638.3,False,125.78,48.81
880c52,AIQ3148,Thailand,1783039232,99.7608,12.2585,8534.4,False,210.92,179.86
71c386,EOK352,Republic of Korea,1783039228,134.0818,36.1989,10668.0,False,265.71,82.43
781918,CSN6921,China,1783038898,114.1835,22.856,3901.44,False,184.13,30.94
781923,CCA8139,China,1783039124,117.1129,39.8501,4572.0,False,193.47,172.67
781935,CSN8117,China,1783039231,113.8159,22.5146,1661.16,False,122.21,189.94
4b9da1,HYM316,Turkey,1783039231,30.8103,38.9154,8663.94,False,246.32,339.33
86ddd4,JAL311,Japan,1783039232,139.4896,35.5558,4549.14,False,193.52,290.22
a9876e,CKS550,United States,1783039231,136.7059,34.7919,11582.4,False,214.26,244.85
06a080,QTR8148,Qatar,1783038642,35.3058,34.7782,11277.6,False,270.2,129.2
a866d3,SVY314,United States,1783038967,101.3698,14.2142,2339.34,False,80.06,84.84
06a087,QTR26K,Qatar,1783039209,56.9974,23.1492,10363.2,False,233.07,297.19
06a08d,QTR50E,Qatar,1783039143,55.8181,25.0505,10363.2,False,238.58,277.31
3949f0,AFR283,France,1783037782,42.8894,41.0342,10972.8,False,222.25,287.51
7c806b,QFA5,Australia,1783039231,30.7561,30.6788,12192.0,False,250.02,316.75
4406de,AUA8,Austria,1783038309,45.2644,41.6121,11582.4,False,220.33,285.85
a3a209,N333MB,United States,1783039231,77.4184,28.2335,3810.0,False,169.44,128.71
76b448,SIA868,Singapore,1783039231,103.8667,3.1853,9296.4,False,227.27,18.48
76b450,SIA726,Singapore,1783039053,101.9992,3.8517,9144.0,False,248.12,324.37
76b451,SIA524,Singapore,1783039232,101.7919,3.46,10363.2,False,236.45,308.64
76b453,SIA154,Singapore,1783039231,103.8433,3.0027,7383.78,False,245.48,358.44
70412a,UBA4001,Myanmar,1783039232,94.5589,18.3536,4876.8,False,132.48,316.89
78076c,CCA1331,China,1783039229,114.9099,39.497,9791.7,False,258.42,223.06
76b44c,SIA762,Singapore,1783039232,103.1917,3.7935,10294.62,False,237.48,339.72
4b9e55,STW1024,Turkey,1783039232,30.9254,36.8069,1927.86,False,144.1,185.12
8621ea,JAL454,Japan,1783039231,139.3138,34.3499,5935.98,False,226.63,67.16
510115,BRU8172,Belarus,1783037779,42.3357,41.8483,10668.0,False,263.0,65.99
406c39,VIR346,United Kingdom,1783037657,28.5255,43.7241,11277.6,False,267.81,123.72
407f62,EZY89CX,United Kingdom,1783039226,25.2829,35.8121,3238.5,False,189.27,163.09
86351c,SNJ125,Japan,1783039232,127.4418,26.5317,1211.58,False,105.56,173.84
a9c52e,NCR510,United States,1783038939,108.1919,22.6649,9784.08,False,267.23,312.66
868ee4,ANA372,Japan,1783039232,130.3123,32.9848,6713.22,False,207.44,97.27
71c510,AAR122,Republic of Korea,1783039231,127.9765,37.5823,6477.0,False,224.89,78.92
71c506,KAL2129,Republic of Korea,1783038965,129.3841,35.2111,5349.24,False,218.12,90.14
71c534,AAR327,Republic of Korea,1783039174,124.4875,37.3796,9174.48,False,212.99,256.17
886292,TAX601,Thailand,1783039232,140.5799,35.6801,4130.04,False,197.14,142.74
71c529,KAL2171,Republic of Korea,1783039231,128.4021,37.6482,7459.98,False,241.44,79.19
71c525,ABL124,Republic of Korea,1783039226,134.891,34.1872,1417.32,False,88.61,33.87
86228c,ANA859,Japan,1783039229,136.2983,34.2796,10972.8,False,213.19,237.12
71c590,KAL2193,Republic of Korea,1783039231,129.7125,37.2368,9448.8,False,252.87,121.52
71c592,JJA2211,Republic of Korea,1783039232,126.4739,37.3991,670.56,False,114.87,149.3
801408,AIC4WB,India,1783039231,77.1207,28.0881,6423.66,False,194.27,203.24
78085f,CQH7587,China,1783039140,124.415,34.763,9441.18,False,227.9,180.0
789206,HKE625,China,1783039205,119.4921,23.5113,10965.18,False,242.06,237.76
789214,CPA261,China,1783039232,46.4027,40.8587,11582.4,False,225.25,262.39
780898,GCR7930,China,1783039231,116.565,40.4089,5958.84,False,204.88,113.22
801442,IGO6701,India,1783039230,72.551,18.8006,4831.08,False,165.23,214.09
71c556,KAL744,Republic of Korea,1783039232,135.2189,35.3405,9525.0,False,191.75,276.93
789230,CPA271,China,1783039232,39.9636,41.1371,11582.4,False,231.0,263.35
71d872,KNP972,Republic of Korea,1783039226,128.9457,35.1688,7.62,True,0.0,115.31
71c546,ESR611,Republic of Korea,1783039232,126.6015,37.3337,1714.5,False,142.84,161.3
8622aa,JA6266,Japan,1783039228,140.0206,36.2399,457.2,False,42.3,85.82
801422,IGO5303,India,1783039231,76.8302,26.7083,9235.44,False,227.04,177.79
71c578,ESR204,Republic of Korea,1783039232,127.2525,36.9643,4472.94,False,168.91,42.78
71c571,KAL2101,Republic of Korea,1783039226,128.6736,37.6889,6621.78,False,253.18,81.71
78924d,CPA907,China,1783039232,119.6249,16.8373,10050.78,False,238.09,151.05
789264,CPA771,China,1783039228,114.5444,21.7765,6164.58,False,196.76,177.15
71c563,EOK315,Republic of Korea,1783039222,131.7084,35.7063,10972.8,False,187.35,278.69
71c568,JNA735,Republic of Korea,1783039220,123.0173,27.0998,10401.3,False,232.69,215.55
